Name,Category,Adress,City,Latitude,Longitude
Random1 ,Mexican Restaurant,Random1 ,Kyiv,50.582800,30.489000
Random2,Mexican Restaurant,Random2,Kyiv,50.339600,30.468000
Random3,Mexican Restaurant,Random3,Kyiv,50.470800,30.608000
Random4,Mexican Restaurant,Random4,Kyiv,50.384400,30.437000
Random5,Mexican Restaurant,Random5,Kyiv,50.344400,30.504000
Random6,Mexican Restaurant,Random6,Kyiv,50.336400,30.590000
Random7,Mexican Restaurant,Random7,Kyiv,50.352400,30.598000
Random8,Mexican Restaurant,Random8,Kyiv,50.346000,30.581000
Random9,Mexican Restaurant,Random9,Kyiv,50.414800,30.610000
Random10,Mexican Restaurant,Random10,Kyiv,50.430800,30.495000
Random11,Mexican Restaurant,Random11,Kyiv,50.349200,30.598000
Random12,Mexican Restaurant,Random12,Kyiv,50.595600,30.569000
Random13,Mexican Restaurant,Random13,Kyiv,50.506000,30.606000
Random14,Mexican Restaurant,Random14,Kyiv,50.512400,30.576000
Random15,Mexican Restaurant,Random15,Kyiv,50.462800,30.587000
Random16,Mexican Restaurant,Random16,Kyiv,50.323600,30.478000
Random17,Mexican Restaurant,Random17,Kyiv,50.578000,30.591000
Random18,Mexican Restaurant,Random18,Kyiv,50.386000,30.580000
Random19,Mexican Restaurant,Random19,Kyiv,50.578000,30.591000
Random20,Mexican Restaurant,Random20,Kyiv,50.474000,30.454000
Random21,Mexican Restaurant,Random21,Kyiv,50.381200,30.597000
Random22,Mexican Restaurant,Random22,Kyiv,50.592400,30.507000
Random23,Mexican Restaurant,Random23,Kyiv,50.554000,30.440000
Random24,Mexican Restaurant,Random24,Kyiv,50.606800,30.468000
Random25,Mexican Restaurant,Random25,Kyiv,50.381200,30.501000
Random26,Mexican Restaurant,Random26,Kyiv,50.416400,30.489000
Random27,Mexican Restaurant,Random27,Kyiv,50.328400,30.426000
Random28,Mexican Restaurant,Random28,Kyiv,50.387600,30.613000
Random29,Mexican Restaurant,Random29,Kyiv,50.330000,30.440000
Random30,Mexican Restaurant,Random30,Kyiv,50.438800,30.602000
