Name,Category,Adress,City,Latitude,Longitude
Random1 ,Mexican Restaurant,Random1 ,Kyiv,50.349200,30.553600
Random2,Mexican Restaurant,Random2,Kyiv,50.466000,30.659200
Random3,Mexican Restaurant,Random3,Kyiv,50.298000,30.376000
Random4,Mexican Restaurant,Random4,Kyiv,50.579600,30.419200
Random5,Mexican Restaurant,Random5,Kyiv,50.539600,30.430400
Random6,Mexican Restaurant,Random6,Kyiv,50.357200,30.499200
Random7,Mexican Restaurant,Random7,Kyiv,50.341200,30.400000
Random8,Mexican Restaurant,Random8,Kyiv,50.549200,30.596800
Random9,Mexican Restaurant,Random9,Kyiv,50.454800,30.662400
Random10,Mexican Restaurant,Random10,Kyiv,50.326800,30.440000
Random11,Mexican Restaurant,Random11,Kyiv,50.475600,30.502400
Random12,Mexican Restaurant,Random12,Kyiv,50.373200,30.534400
Random13,Mexican Restaurant,Random13,Kyiv,50.341200,30.444800
Random14,Mexican Restaurant,Random14,Kyiv,50.360400,30.411200
Random15,Mexican Restaurant,Random15,Kyiv,50.301200,30.676800
Random16,Mexican Restaurant,Random16,Kyiv,50.538000,30.419200
Random17,Mexican Restaurant,Random17,Kyiv,50.320400,30.403200
Random18,Mexican Restaurant,Random18,Kyiv,50.355600,30.604800
Random19,Mexican Restaurant,Random19,Kyiv,50.582800,30.464000
Random20,Mexican Restaurant,Random20,Kyiv,50.526800,30.468800
Random21,Mexican Restaurant,Random21,Kyiv,50.312400,30.574400
Random22,Mexican Restaurant,Random22,Kyiv,50.294800,30.380800
Random23,Mexican Restaurant,Random23,Kyiv,50.514000,30.372800
Random24,Mexican Restaurant,Random24,Kyiv,50.451600,30.512000
Random25,Mexican Restaurant,Random25,Kyiv,50.474000,30.620800
Random26,Mexican Restaurant,Random26,Kyiv,50.346000,30.411200
Random27,Mexican Restaurant,Random27,Kyiv,50.533200,30.625600
Random28,Mexican Restaurant,Random28,Kyiv,50.510800,30.416000
Random29,Mexican Restaurant,Random29,Kyiv,50.382800,30.544000
Random30,Mexican Restaurant,Random30,Kyiv,50.550800,30.512000
