Name,Category,Adress,City,Latitude,Longitude
Random1 ,Mexican Restaurant,Random1 ,Kyiv,50.344400,30.445000
Random2,Mexican Restaurant,Random2,Kyiv,50.421200,30.567000
Random3,Mexican Restaurant,Random3,Kyiv,50.594000,30.559000
Random4,Mexican Restaurant,Random4,Kyiv,50.525200,30.524000
Random5,Mexican Restaurant,Random5,Kyiv,50.498000,30.520000
Random6,Mexican Restaurant,Random6,Kyiv,50.392400,30.451000
Random7,Mexican Restaurant,Random7,Kyiv,50.515600,30.566000
Random8,Mexican Restaurant,Random8,Kyiv,50.570000,30.465000
Random9,Mexican Restaurant,Random9,Kyiv,50.490000,30.556000
Random10,Mexican Restaurant,Random10,Kyiv,50.504400,30.503000
Random11,Mexican Restaurant,Random11,Kyiv,50.461200,30.500000
Random12,Mexican Restaurant,Random12,Kyiv,50.299600,30.520000
Random13,Mexican Restaurant,Random13,Kyiv,50.357200,30.449000
Random14,Mexican Restaurant,Random14,Kyiv,50.394000,30.601000
Random15,Mexican Restaurant,Random15,Kyiv,50.554000,30.457000
Random16,Mexican Restaurant,Random16,Kyiv,50.307600,30.427000
Random17,Mexican Restaurant,Random17,Kyiv,50.368400,30.603000
Random18,Mexican Restaurant,Random18,Kyiv,50.517200,30.512000
Random19,Mexican Restaurant,Random19,Kyiv,50.338000,30.616000
Random20,Mexican Restaurant,Random20,Kyiv,50.328400,30.596000
Random21,Mexican Restaurant,Random21,Kyiv,50.360400,30.570000
Random22,Mexican Restaurant,Random22,Kyiv,50.485200,30.503000
Random23,Mexican Restaurant,Random23,Kyiv,50.491600,30.558000
Random24,Mexican Restaurant,Random24,Kyiv,50.350800,30.550000
Random25,Mexican Restaurant,Random25,Kyiv,50.293200,30.565000
Random26,Mexican Restaurant,Random26,Kyiv,50.315600,30.476000
Random27,Mexican Restaurant,Random27,Kyiv,50.446800,30.502000
Random28,Mexican Restaurant,Random28,Kyiv,50.339600,30.501000
Random29,Mexican Restaurant,Random29,Kyiv,50.312400,30.550000
Random30,Mexican Restaurant,Random30,Kyiv,50.488400,30.561000
